model,history,neurons,layers,optimizer,learning_rate,loss,y_log,r2_score,mape,time,epochs
<keras.src.engine.sequential.Sequential object at 0x296d303d0>,<keras.src.callbacks.History object at 0x296c55f50>,16,1,adam,0.1,mean_squared_logarithmic_error,True,-3.4540617047668203,0.9804296726130621,1.1762139797210693,45
<keras.src.engine.sequential.Sequential object at 0x29a4d6f50>,<keras.src.callbacks.History object at 0x29a4cc250>,16,1,adam,0.1,mean_squared_logarithmic_error,False,0.18396306034242538,0.26681717203493843,1.1759958267211914,69
<keras.src.engine.sequential.Sequential object at 0x29a334510>,<keras.src.callbacks.History object at 0x296f6a950>,16,1,adam,0.1,mse,True,-3.455083745325325,0.9810335684026289,1.0077192783355713,52
<keras.src.engine.sequential.Sequential object at 0x29b851550>,<keras.src.callbacks.History object at 0x29b8808d0>,16,1,adam,0.1,mse,False,0.40011428849789343,0.294909236615984,0.7545127868652344,37
<keras.src.engine.sequential.Sequential object at 0x29b8f1790>,<keras.src.callbacks.History object at 0x29b2008d0>,16,1,adam,0.1,mean_absolute_percentage_error,True,-3.4512649539060405,0.9799823713891701,1.975045919418335,154
<keras.src.engine.sequential.Sequential object at 0x29b211590>,<keras.src.callbacks.History object at 0x29da308d0>,16,1,adam,0.1,mean_absolute_percentage_error,False,0.11092270662438153,0.27409772339831573,1.4254169464111328,84
<keras.src.engine.sequential.Sequential object at 0x29dad97d0>,<keras.src.callbacks.History object at 0x296c8ae50>,16,1,adam,0.01,mean_squared_logarithmic_error,True,-3.45792129135632,0.9809674482152052,1.5710539817810059,111
<keras.src.engine.sequential.Sequential object at 0x29a2d3110>,<keras.src.callbacks.History object at 0x297072290>,16,1,adam,0.01,mean_squared_logarithmic_error,False,0.2083641340877711,0.29072776893489743,5.88673996925354,513
<keras.src.engine.sequential.Sequential object at 0x29e43afd0>,<keras.src.callbacks.History object at 0x29760e150>,16,1,adam,0.01,mse,True,-3.45744084700946,0.981563263945118,0.9601650238037109,53
<keras.src.engine.sequential.Sequential object at 0x29bbfa590>,<keras.src.callbacks.History object at 0x160226a90>,16,1,adam,0.01,mse,False,0.4048670949569161,0.29673111597048607,1.201686143875122,79
<keras.src.engine.sequential.Sequential object at 0x1602eaa50>,<keras.src.callbacks.History object at 0x1606771d0>,16,1,adam,0.01,mean_absolute_percentage_error,True,-3.4564501752135675,0.9815438602668602,1.1209206581115723,67
<keras.src.engine.sequential.Sequential object at 0x16084bdd0>,<keras.src.callbacks.History object at 0x1608be350>,16,1,adam,0.01,mean_absolute_percentage_error,False,-0.0004124889870462667,0.2852332880317194,3.125426769256592,263
<keras.src.engine.sequential.Sequential object at 0x1612a3890>,<keras.src.callbacks.History object at 0x16131a6d0>,16,1,adam,0.001,mean_squared_logarithmic_error,True,-3.45870042104493,0.9811783839641928,2.5779917240142822,209
<keras.src.engine.sequential.Sequential object at 0x16126bdd0>,<keras.src.callbacks.History object at 0x1618edc90>,16,1,adam,0.001,mean_squared_logarithmic_error,False,0.11452240526583057,0.291402683903942,15.770843267440796,1433
<keras.src.engine.sequential.Sequential object at 0x1623ebdd0>,<keras.src.callbacks.History object at 0x1623f1c10>,16,1,adam,0.001,mse,True,-3.4551912806734038,0.9811237807449711,3.2245309352874756,213
<keras.src.engine.sequential.Sequential object at 0x162af29d0>,<keras.src.callbacks.History object at 0x162ab8c50>,16,1,adam,0.001,mse,False,0.3747230386699132,0.3197202569560239,7.420992136001587,625
<keras.src.engine.sequential.Sequential object at 0x1631e7250>,<keras.src.callbacks.History object at 0x162f69710>,16,1,adam,0.001,mean_absolute_percentage_error,True,-3.4549599239841307,0.9808668152560913,3.2884249687194824,257
<keras.src.engine.sequential.Sequential object at 0x1641243d0>,<keras.src.callbacks.History object at 0x1640ad9d0>,16,1,adam,0.001,mean_absolute_percentage_error,False,0.003665512165928364,0.27740296719066404,17.85822367668152,1632
<keras.src.engine.sequential.Sequential object at 0x162b45ad0>,<keras.src.callbacks.History object at 0x165655d10>,16,1,sgd,0.1,mean_squared_logarithmic_error,True,-3.4532173524990437,0.980558919137194,0.9158849716186523,51
<keras.src.engine.sequential.Sequential object at 0x165a02610>,<keras.src.callbacks.History object at 0x16560d890>,16,1,sgd,0.1,mean_squared_logarithmic_error,False,0.1395453488831503,0.28780012272563993,5.504866123199463,495
<keras.src.engine.sequential.Sequential object at 0x165a97e50>,<keras.src.callbacks.History object at 0x1661ee250>,16,1,sgd,0.1,mse,True,-3.4489683388662957,0.9804280694989889,0.6968181133270264,34
<keras.src.engine.sequential.Sequential object at 0x165dd6810>,<keras.src.callbacks.History object at 0x166207a50>,16,1,sgd,0.1,mse,False,-3.565758818592788,1.0,0.8930060863494873,31
<keras.src.engine.sequential.Sequential object at 0x166003dd0>,<keras.src.callbacks.History object at 0x29483cd10>,16,1,sgd,0.1,mean_absolute_percentage_error,True,-3.4540077343932687,0.980382342408844,0.8426032066345215,47
<keras.src.engine.sequential.Sequential object at 0x160653dd0>,<keras.src.callbacks.History object at 0x161389b50>,16,1,sgd,0.1,mean_absolute_percentage_error,False,-0.2563815254041739,0.32176301580459704,1.3291289806365967,95
<keras.src.engine.sequential.Sequential object at 0x164053dd0>,<keras.src.callbacks.History object at 0x1671e2e10>,16,1,sgd,0.01,mean_squared_logarithmic_error,True,-3.4522023154322925,0.9800855578281373,3.600619077682495,314
<keras.src.engine.sequential.Sequential object at 0x16718e690>,<keras.src.callbacks.History object at 0x167d29d50>,16,1,sgd,0.01,mean_squared_logarithmic_error,False,0.15289541579389665,0.2771516726396721,45.361528158187866,4183
<keras.src.engine.sequential.Sequential object at 0x2ca03da10>,<keras.src.callbacks.History object at 0x2ca91e910>,16,1,sgd,0.01,mse,True,-3.450551996632819,0.9804746722993066,1.421583652496338,102
<keras.src.engine.sequential.Sequential object at 0x167c43dd0>,<keras.src.callbacks.History object at 0x2cb04e090>,16,1,sgd,0.01,mse,False,-3.2110498132983043,1.033815042936471,0.7063801288604736,32
<keras.src.engine.sequential.Sequential object at 0x2ca46bb10>,<keras.src.callbacks.History object at 0x2ca0db690>,16,1,sgd,0.01,mean_absolute_percentage_error,True,-3.449268145100712,0.9801220474352454,0.9822378158569336,62
<keras.src.engine.sequential.Sequential object at 0x2ca83d0d0>,<keras.src.callbacks.History object at 0x2ca8820d0>,16,1,sgd,0.01,mean_absolute_percentage_error,False,0.09839188066939286,0.25868010280530823,3.2302908897399902,263
<keras.src.engine.sequential.Sequential object at 0x2cc8dbdd0>,<keras.src.callbacks.History object at 0x2cc8cc490>,16,1,sgd,0.001,mean_squared_logarithmic_error,True,-3.456320579071403,0.9806327553240469,21.536760091781616,1949
<keras.src.engine.sequential.Sequential object at 0x2cd574850>,<keras.src.callbacks.History object at 0x2cd5a7ad0>,16,1,sgd,0.001,mean_squared_logarithmic_error,False,-0.38947529649593493,0.31463529309743954,107.1438341140747,10000
<keras.src.engine.sequential.Sequential object at 0x2d2456d10>,<keras.src.callbacks.History object at 0x2d1f18090>,16,1,sgd,0.001,mse,True,-3.45259709696289,0.9803094258853315,10.121096849441528,951
<keras.src.engine.sequential.Sequential object at 0x2d23b1610>,<keras.src.callbacks.History object at 0x2d24a65d0>,16,1,sgd,0.001,mse,False,0.2997841491760448,0.30656827192645986,0.8085899353027344,42
<keras.src.engine.sequential.Sequential object at 0x2d2dcbdd0>,<keras.src.callbacks.History object at 0x2d3205450>,16,1,sgd,0.001,mean_absolute_percentage_error,True,-3.4513586360218733,0.980556331747855,2.3984618186950684,200
<keras.src.engine.sequential.Sequential object at 0x2d3d40bd0>,<keras.src.callbacks.History object at 0x2d3de2c90>,16,1,sgd,0.001,mean_absolute_percentage_error,False,-0.20770507319975584,0.3013053245074941,18.469236135482788,1745
<keras.src.engine.sequential.Sequential object at 0x2d485bdd0>,<keras.src.callbacks.History object at 0x2d49b1550>,16,2,adam,0.1,mean_squared_logarithmic_error,True,-3.4482256316209385,0.9795446808928092,1.193894863128662,61
<keras.src.engine.sequential.Sequential object at 0x2d463e210>,<keras.src.callbacks.History object at 0x2d63dea90>,16,2,adam,0.1,mean_squared_logarithmic_error,False,0.35701127610442085,0.2584873107590375,0.9861900806427002,47
<keras.src.engine.sequential.Sequential object at 0x2d63d3dd0>,<keras.src.callbacks.History object at 0x2d5b7a750>,16,2,adam,0.1,mse,True,-3.4470178551746677,0.9795794453634283,1.7109708786010742,79
<keras.src.engine.sequential.Sequential object at 0x2cc8d29d0>,<keras.src.callbacks.History object at 0x29e57b450>,16,2,adam,0.1,mse,False,0.29292657379299014,0.3254860795781378,1.1962690353393555,58
<keras.src.engine.sequential.Sequential object at 0x2d2530dd0>,<keras.src.callbacks.History object at 0x2cb1008d0>,16,2,adam,0.1,mean_absolute_percentage_error,True,-3.446277298453496,0.9793290277143698,1.5498380661010742,95
<keras.src.engine.sequential.Sequential object at 0x2d835bdd0>,<keras.src.callbacks.History object at 0x2d83b0610>,16,2,adam,0.1,mean_absolute_percentage_error,False,0.10894796510642069,0.2581557275842471,1.506584644317627,86
<keras.src.engine.sequential.Sequential object at 0x2d902ffd0>,<keras.src.callbacks.History object at 0x2d90b7910>,16,2,adam,0.01,mean_squared_logarithmic_error,True,-3.4494952719593828,0.9799800757375875,3.0511460304260254,228
<keras.src.engine.sequential.Sequential object at 0x2da2ebd50>,<keras.src.callbacks.History object at 0x2d972f810>,16,2,adam,0.01,mean_squared_logarithmic_error,False,0.23707455266329647,0.2774106952839128,1.7671968936920166,110
<keras.src.engine.sequential.Sequential object at 0x2d9acd410>,<keras.src.callbacks.History object at 0x29df4c390>,16,2,adam,0.01,mse,True,-3.4511692830254006,0.980168070996094,2.3005521297454834,155
<keras.src.engine.sequential.Sequential object at 0x2d9ab0610>,<keras.src.callbacks.History object at 0x2da7081d0>,16,2,adam,0.01,mse,False,0.32502056845444893,0.29298279366656443,1.1361231803894043,51
<keras.src.engine.sequential.Sequential object at 0x2db7d5b10>,<keras.src.callbacks.History object at 0x2cddc6a10>,16,2,adam,0.01,mean_absolute_percentage_error,True,-3.447589505348777,0.9795778900066064,1.9727396965026855,123
<keras.src.engine.sequential.Sequential object at 0x29df429d0>,<keras.src.callbacks.History object at 0x2db7b9a90>,16,2,adam,0.01,mean_absolute_percentage_error,False,0.18753409690152,0.2464043658620061,1.486665964126587,88
<keras.src.engine.sequential.Sequential object at 0x2dd54ffd0>,<keras.src.callbacks.History object at 0x2cddd08d0>,16,2,adam,0.001,mean_squared_logarithmic_error,True,-3.457631641103422,0.9805253946658669,5.513936758041382,353
<keras.src.engine.sequential.Sequential object at 0x2e00923d0>,<keras.src.callbacks.History object at 0x2dff2d9d0>,16,2,adam,0.001,mean_squared_logarithmic_error,False,0.2099715029637509,0.3224107006815182,7.780245065689087,512
<keras.src.engine.sequential.Sequential object at 0x2dfd6afd0>,<keras.src.callbacks.History object at 0x2e06ec5d0>,16,2,adam,0.001,mse,True,-3.4542150225973334,0.9806107717676313,4.363610029220581,321
<keras.src.engine.sequential.Sequential object at 0x2e15dbdd0>,<keras.src.callbacks.History object at 0x2dc199cd0>,16,2,adam,0.001,mse,False,0.3863728790510237,0.35576478097225744,3.477921962738037,231
<keras.src.engine.sequential.Sequential object at 0x2e1a5a690>,<keras.src.callbacks.History object at 0x2e229c350>,16,2,adam,0.001,mean_absolute_percentage_error,True,-3.4558467467410585,0.9808102190456511,3.651190757751465,275
<keras.src.engine.sequential.Sequential object at 0x2e348d090>,<keras.src.callbacks.History object at 0x2e34e73d0>,16,2,adam,0.001,mean_absolute_percentage_error,False,0.06129819733066544,0.26434074131524427,7.240466117858887,539
<keras.src.engine.sequential.Sequential object at 0x2e3f3bdd0>,<keras.src.callbacks.History object at 0x2e3f867d0>,16,2,sgd,0.1,mean_squared_logarithmic_error,True,-3.4554823075354184,0.9802487666883237,2.787644147872925,195
<keras.src.engine.sequential.Sequential object at 0x2e40b01d0>,<keras.src.callbacks.History object at 0x2e419ae50>,16,2,sgd,0.1,mean_squared_logarithmic_error,False,0.21146186778719012,0.29364488223090734,2.0681021213531494,152
<keras.src.engine.sequential.Sequential object at 0x2e4116690>,<keras.src.callbacks.History object at 0x2e4ae8110>,16,2,sgd,0.1,mse,True,-3.4475588231573324,0.9796242699278845,1.4034922122955322,90
<keras.src.engine.sequential.Sequential object at 0x2e4a98e90>,<keras.src.callbacks.History object at 0x2e4c0e650>,16,2,sgd,0.1,mse,False,-3.565758818592788,1.0,0.803170919418335,31
<keras.src.engine.sequential.Sequential object at 0x2e5b9a9d0>,<keras.src.callbacks.History object at 0x2e5c03a10>,16,2,sgd,0.1,mean_absolute_percentage_error,True,-3.4456425466548346,0.9785890807691872,0.9834022521972656,41
<keras.src.engine.sequential.Sequential object at 0x2e4c1b150>,<keras.src.callbacks.History object at 0x2e71ee310>,16,2,sgd,0.1,mean_absolute_percentage_error,False,-0.28842038215541743,0.3985323777809844,0.9299032688140869,45
<keras.src.engine.sequential.Sequential object at 0x2e5b828d0>,<keras.src.callbacks.History object at 0x2e74ff7d0>,16,2,sgd,0.01,mean_squared_logarithmic_error,True,-3.4555044462780984,0.9804896710476728,3.568303108215332,242
<keras.src.engine.sequential.Sequential object at 0x2e9681190>,<keras.src.callbacks.History object at 0x2e96d2a90>,16,2,sgd,0.01,mean_squared_logarithmic_error,False,0.14978567910033158,0.29339124783132337,7.2701239585876465,566
<keras.src.engine.sequential.Sequential object at 0x2e85d9ed0>,<keras.src.callbacks.History object at 0x2ea342810>,16,2,sgd,0.01,mse,True,-3.4525264444298474,0.9802051729389147,2.0226268768310547,141
<keras.src.engine.sequential.Sequential object at 0x2e8d63dd0>,<keras.src.callbacks.History object at 0x2ea62f150>,16,2,sgd,0.01,mse,False,-3.565758818592788,1.0,0.9014461040496826,31
<keras.src.engine.sequential.Sequential object at 0x2e999bdd0>,<keras.src.callbacks.History object at 0x2eaebe550>,16,2,sgd,0.01,mean_absolute_percentage_error,True,-3.4537590228534754,0.9802593236490194,1.4071810245513916,84
<keras.src.engine.sequential.Sequential object at 0x2eb8dcc50>,<keras.src.callbacks.History object at 0x2ec878310>,16,2,sgd,0.01,mean_absolute_percentage_error,False,0.011476885491448652,0.25558202961537513,1.6659741401672363,105
<keras.src.engine.sequential.Sequential object at 0x2ec821950>,<keras.src.callbacks.History object at 0x2ed002650>,16,2,sgd,0.001,mean_squared_logarithmic_error,True,-3.4545096870898817,0.9798685765900519,14.64004921913147,1258
