id;name;title;description;link;city;latitude;longitude;room_type;rooms;beds;bathrooms;person_capacity;is_superhost;can_instant_book;pic_count;amenities;review_count;overall_rating;accuracy_rating;checkin_rating;cleanliness_rating;communication_rating;location_rating;value_rating;price
859426740222350409;Ap à beira-mar com vista espetacular na Barra -Rio;Apartamento em Rio de Janeiro;Ap  à beira-mar na Barra da Tijuca, com varanda e vista espetacular na melhor praia do Rio de Janeiro, entre o posto 4 e 5. O ap tem 2 quartos:1 suíte com ar, tv, banheiro e 1 quarto com bicama, tv e ventilador de teto. Sala de jantar e estar com TV, banheiro social e cozinha completa. O condomínio tem área de lazer com piscina aquecida, quadra, parque infantil e mini mercado. Local seguro com agradável calçadão, bares, restaurantes, quiosques de praia, mercado e lojas onde dá para ir a pé.<br /><br /><b>O espaço</b><br />O apartamento tem uma vista espetacular e fica na frente da praia. Ele tem uma gostosa varanda para curtir o visual, uma sala de estar com enorme tv, uma mesa de jantar próxima da varanda e com vista para o mar. A suíte tem vista parcial para o mar, uma TV gigante , 1 cama de casal, armários, ar condicionado e banheiro. O segundo quarto tem  vista para o mar, armário, uma bicama que acomoda 2 pessoas, uma TV grande e ventilador de teto. Uma cozinha completa e uma pequena área de serviço com máquina de lavar e janela vista mar. O apartamento é charmoso, tem uma vista fantástica, é compacto  mas super aconchegante. Perfeito para férias em família! O condomínio é maravilhoso, tem piscina aquecida, parquinho infantil e fica na orla, num lugar super bacana e seguro, com calçadão, perto de vários bares, restaurantes, quiosques de praia e uma praia fabulosa!<br /><br /><b>Acesso do hóspede</b><br />O apartamento será de uso exclusivo do hóspede, com disponibidade de 1 vaga de garagem coberta dentro do prédio. No condomínio ele poderá usufruir da piscina (desde que tenha um ATESTADO MÉDICO que é obrigatório para moradores e hóspedes), das quadras e parque infantil, respeitando as regras do condomínio.<br /><br /><b>Outras observações</b><br />O condomínio possui regras que precisam ser respeitadas e é preciso preencher uma ficha com os dados dos hóspedes que alugam apartamentos por temporada. Além de apresentação de atestado médico caso ele queira frequentar a piscina ( regra do condomínio para hóspedes e moradores).;https://www.airbnb.com.br/rooms/859426740222350409;Rio de Janeiro;-23.010832003825485;-43.32957914417316;entire_home;2.0;3;2;4;False;False;55;[1, 129, 322, 4, 132, 5, 7, 8, 9, 73, 522, 139, 12, 77, 21, 85, 86, 23, 663, 89, 665, 91, 667, 93, 94, 95, 671, 96, 672, 33, 674, 100, 40, 104, 44, 236, 364, 45, 46, 625, 308, 57];9;5.0;5.0;5.0;5.0;5.0;5.0;5.0;396.0
40393703;IPANEMA | 2 quartos, jacuzzi privativa;Apartamento em Ipanema;Apartamento amplo, alto padrão (um por andar) com vaga de garagem. Localizado em um dos melhores pontos de IPANEMA, a apenas dois quarteirões da praia (4 minutos a pé), a pouca distância de tudo.<br /><br />A propriedade tem 2 quartos e a suite tem uma banheira de hidromassagem. Cozinha completa e funcional, quarto amplo e aconchegante com mesa de jantar, Smart TV e decorado especialmente para os amantes da arte!<br /><br />* WI-FI rápido + AR CONDICIONADO em todo o apartamento + BLACKOUT nos quartos<br /><br /><b>O espaço</b><br />QUARTO com ar condicionado, mesa de jantar (6 pessoas), insulfime e Smart TV grande. <br /><br />SUÍTE com cama queen size, amplo guarda-roupa, jacuzzi e blackout.<br /><br />QUARTO com cama de casal, ar-condicionado, guarda-roupa grande, espaço de home-office e blackout.<br /><br />COZINHA com conjunto de panelas, talheres, copos, canecas e outros utensílios (além de liquidificador, microondas, cafeteira, fogão, geladeira). Nós também oferecemos itens básicos, como sal, açúcar, óleo, óleo, várias especiarias, etc.<br /><br />BANHEIRO SOCIAL para visitantes.<br /><br />ÁREA DE SERVIÇO com banheiro extra, máquina de lavar roupa, espaço para secar roupas (no edifício também há amplo espaço na área de lazer com varal para secar roupas). Oferecemos todos os utensílios e produtos para a limpeza tradicional.<br /><br />GARAGEM no edifício com um espaço para os hóspedes.<br />(Nossa garagem é estreita e não é adequada para carros muito grandes).<br /><br /><b>Acesso do hóspede</b><br />O apartamento oferece um espaço de estacionamento exclusivo para os hóspedes, mas o espaço não é recomendado para armazenar carros grandes. Além disso, estamos localizados em frente a uma das saídas do metrô de Ipanema.;https://www.airbnb.com.br/rooms/40393703;Ipanema;-22.98474;-43.1978;entire_home;2.0;2;2;4;False;False;31;[1, 2, 4, 5, 8, 9, 73, 10, 394, 522, 11, 331, 12, 77, 21, 85, 86, 663, 25, 89, 665, 90, 91, 667, 93, 94, 95, 671, 32, 96, 672, 33, 674, 37, 103, 167, 40, 104, 44, 236, 46, 47, 627, 308, 56, 57, 61];66;4.76;4.83;4.95;4.68;4.89;4.71;4.68;463.0
2781643;Copacabana - I apartamento quarto.;Condomínio em Rio;Este apartamento moderno e seguro em um Apart Hotel fica a apenas 5 minutos a pé da mundialmente famosa praia de Copacabana.  <br /> <br />Localizado perto de excelentes bares e restaurantes e a poucos minutos do metro, com um serviço de porteiro 24 horas.<br /><br /><b>O espaço</b><br />O apartamento está localizado no coração do bairro de Copacabana (Posto 3), a apenas 5 minutos a pé da praia mundialmente famosa, em um bloco de apartamentos muito seguro.<br /><br />É uma ótima base para explorar esta cidade incrível.  <br /><br />Tem uma cozinha totalmente equipada, Internet sem fios, varanda e televisão por cabo.<br /><br />O edifício dispõe de segurança 24 horas e os hóspedes têm acesso a um amplo terraço com piscina.<br /><br />Há ótimas ligações de transporte perto do edifício, incluindo a Estação de Metrô Siqueira Campos.<br /><br /><b>Acesso do hóspede</b><br />Piscina para natação com terraço para banhos de sol<br /><br /><b>Outras observações</b><br />Telefone: <br />Há um telefone no apartamento ligado ao edifício, se você usá-lo para fazer chamadas a recepção irá cobrar-lhe.  Eu não recomendaria ninguém  usá-lo a não ser para entrar em contato com a recepção, pois as taxas são muito altas.  <br /><br />Lixo:<br />Há uma sala ao lado dos elevadores com uma caixa grande se você quiser se livrar de qualquer lixo.  Recomendo que o use para restos de comida a cada dois dias.;https://www.airbnb.com.br/rooms/2781643;Rio;-22.96859;-43.18668;entire_home;1.0;2;1;4;True;False;27;[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 77, 14, 21, 86, 89, 90, 91, 667, 93, 94, 31, 95, 33, 34, 35, 36, 100, 40, 104, 43, 44, 45, 46, 51, 52];61;4.79;4.88;4.86;4.7;4.95;4.74;4.77;365.0
814499634518415333;Lindo Apartamento em Frente a Praia de Ipanema;Apartamento em Rio de Janeiro;"Leia as 4 regras da casa na seção ""O que você deve saber"" e ""Mostrar mais"".<br /><br />Destaques:<br />- Infraestrutura do prédio no último andar com piscina, sauna, restaurante e vista incrível de Ipanema/Leblon<br />- Incluída limpeza diária do apartamento e vaga de estacionamento<br />- Apartamento silencioso no terceiro andar, sem vista para o mar<br />- Portaria 24h/7d<br />- Wifi de alta velocidade<br />- 2 quartos, sendo os 2 suítes<br />- Acomoda 5 pessoas, sendo uma no sofá da sala<br />- Cozinha completa<br />- Prédio de frente para praia";https://www.airbnb.com.br/rooms/814499634518415333;Rio de Janeiro;-22.9859453;-43.2085806;entire_home;2.0;2;2;5;True;True;21;[1, 33, 674, 4, 5, 7, 8, 9, 12];17;4.82;4.88;4.88;4.71;4.94;5.0;4.65;983.0
794182322311632952;Lindo Apartamento no Arpoador recém reformado;Apartamento em Rio de Janeiro;"Leia as 4 regras da casa na seção ""O que você deve saber"" e ""Mostrar mais"".<br /><br />Destaques:<br />- Vista fantástica da praia de Ipanema e Arpoador<br />- Vaga na garagem para 2 carros<br />- Portaria e segurança 24h<br />- Infraestrutura do prédio com piscina, churrasqueira e sauna<br />- Fechadura por senha<br />- 2 quartos, sendo os 2 suítes<br />- Smartv de última geração, com mais de 250 canais<br />- Mobiliado e cozinha completa<br />- 200m da praia de Ipanema/Arpoador/Diabo<br />- Apartamento reformado em 12/2022";https://www.airbnb.com.br/rooms/794182322311632952;Rio de Janeiro;-22.986348530958313;-43.19446665986424;entire_home;2.0;2;2;4;True;True;22;[1, 4, 132, 5, 7, 8, 9, 73, 522, 12, 15, 21, 85, 86, 23, 280, 89, 665, 90, 91, 667, 93, 94, 223, 671, 96, 34, 674, 99, 227, 100, 40, 104, 44, 236, 51, 52, 308, 510];23;4.96;4.87;5.0;4.65;5.0;5.0;4.74;1123.0
639876320630242883;PAISSANDU CHARMOSA;Apartamento em Flamengo;Amplo apartamento estilo Art Déco na rua Paissandu, Flamengo, a 500 metros das Estações do Metrô Flamengo e Largo do Machado. O prédio fica a 400 metros do Aterro do  Flamengo, parque com jardins assinados por Roberto Burle Marx e uma das maiores áreas de lazer do Rio. São duas confortáveis suítes, ampla sala e hall agradabilíssimo. A cozinha é espaçosa, com área de serviço. O endereço é bem localizado com  opções de restaurantes, mercado, bancos e farmácias. Próximo do Aeroporto Santos Dumont.<br /><br /><b>O espaço</b><br />O apartamento é localizado em um prédio considerado um dos ícones do estilo Art Déco no Rio de Janeiro, em uma rua repleta de palmeiras imperiais, no histórico bairro do Flamengo.  Os hóspedes contarão com duas confortáveis suítes (sendo uma com banheira) com sacada, uma agradável sala, lavabo, grande cozinha e área de serviço.<br /><br /><b>Acesso do hóspede</b><br />Embora a anfitriã more no imóvel, ele ficará inteiramente para o uso dos hóspedes. Estaremos em contato o tempo todo para qualquer dúvida ou imprevisto.<br /><br /><b>Outras observações</b><br />O edifício Payssandu é um imóvel tombado, uma autêntica construçãodo art  déco  brasileiro. Alguns cuidados são esperados dos hóspedes: <br />- o vitral da sala de entrada não deve ser aberto. <br />- as persianas dos quartos são originais e devem ser manuseadas com cuidado. Sempre devagar e de baixo para cima. <br />- não é permitido fumar. Pedimos que seja respeitada à lei do silêncio. <br />- somos petfriendly. Os pets são bem recebidos mas é necessário que o tutor traga sua cama ou almofada e fraldinhas sanitárias. Importante: pedimos não deixarem os pets subirem nas camas e/ou sofás. <br />- as toalhas de banho não devem ser levadas para a praia e/ou piscina. Nos armários dos banheiros, têm toalhas adicionais para caso seja necessário toalha de praia. <br />- Pedimos que o apartamento seja entregue com as louças lavadas e os lixos já depositados nas respectivas lixeiras do corredor. <br />Desde já agradecemos a atenção e colaboração e desejamos uma ótima estadia;https://www.airbnb.com.br/rooms/639876320630242883;Flamengo;-22.93526;-43.176;entire_home;2.0;2;2;4;False;True;16;[96, 1, 4, 100, 5, 8, 40, 104, 12, 44, 45, 77, 46, 47, 85, 89, 665, 90, 91, 667, 61, 93, 30, 94];27;4.93;4.89;4.96;4.96;4.89;5.0;4.78;439.0
793853627820519551;Copa BeachLovers c/ estacionamento/Perto da praia;Apartamento em Rio de Janeiro;Ambiente único, confortável e acolhedor, ideal para casais. <br /><br />Próximo à  Estação do Metrô e a 2 quadras da Praia de Copacabana, todo modernizado para locação de temporada.<br /><br />Nós pensamos em cada detalhe para que sua experiência seja inesquecível.<br /><br />Sala e quarto climatizados e com TV.<br />Wi-Fi Fibra 5G 250 Mega.<br />Cozinha prática com tudo que você precisa.<br />Banheiro com aquecedor à gás.<br /><br />Atender pessoas é nossa especialidade!<br /><br />Venha desfrutar e a fazer parte da comunidade Copacabana Beach Lovers!;https://www.airbnb.com.br/rooms/793853627820519551;Rio de Janeiro;-22.96806999520113;-43.186507270402;entire_home;1.0;3;1;4;True;False;44;[1, 322, 4, 5, 134, 71, 8, 9, 73, 10, 394, 12, 77, 79, 657, 146, 21, 85, 86, 663, 89, 665, 90, 93, 94, 415, 671, 96, 672, 674, 40, 104, 41, 107, 44, 236, 45, 46, 47, 51, 54, 57];34;4.97;4.94;4.91;4.97;4.97;4.91;4.91;369.0
2829531;Leblon, conforto ao lado da praia.;Condomínio em Rio;Apartamento ultra confortável com 80 m2 (860 sqt ) Vista para a copa das amendoeiras a 50 metros da praia do Leblon. <br />Dois quartos sendo uma suite e dois banheiros completos. Um sofá cama na sala para dois hóspedes extras. <br />Varanda espaçosa num edifício luxuoso com sauna, piscina, academia completa, vaga espaçosa na garagem .A praia é limpa e perfeita para surfistas e corredores.<br /><br /><b>O espaço</b><br />A cozinha é aberta para a sala e a circulação pode ser feita para o quarto de casal pela varanda. São dois quartos sendo uma suíte com toalhas, lençóis e travesseiros de primeira qualidade. Crianças serão muito bem-vindas. Pets também.<br /><br /><b>Acesso do hóspede</b><br />O prédio tem porteiro 24 horas e a garagem é muito boa e espaçosa para estacionar.<br /><br /><b>Outras observações</b><br />Todo mobiliado e equipado. Tudo pensado com carinho para o conforto dos hóspedes.;https://www.airbnb.com.br/rooms/2829531;Rio;-22.98697;-43.22718;entire_home;2.0;4;2;6;True;False;50;[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 21, 663, 665, 667, 28, 31, 415, 672, 33, 34, 674, 37, 40, 41, 43, 44, 45, 46, 47, 51, 54, 64, 66, 322, 71, 72, 77, 86, 89, 90, 91, 93, 94, 95, 100, 103, 104, 236];39;5.0;4.97;5.0;4.95;4.97;5.0;4.97;700.0
779880268768506427;Apartamento aconchegante no Leme 200 m. da praia;Apartamento em Rio de Janeiro;Apartamento novo,<br />confortável e aprazível a uma  quadra<br /> da praia do Leme.<br />Vista para o verde, <br />vasto comércio (farmácias, padaria, restaurantes, bares e em frente ao mercado Zona Sul), <br /><br />Ótima opção para quem busca conforto e equilíbrio entre o verde e mar!<br /><br /><b>Acesso do hóspede</b><br />O apto dispoe de porta com  fechadura figital, wi-fi,  TV Smart e assistente ALEXIA! <br /><br />Wi-fi  - 1220<br /> <br /><br /> Porta :  🔐 digital por senha. Se preferir peça auxílio para Alexia. <br /><br />  O acesso para a TV para  conta da Netflix está liberado.  😊<br /><br />O prédio possui por  portaria 24h, dia e noite.  <br />Pedimos q gentileza de realizar o registro com seu nome, e um documento de identificação.;https://www.airbnb.com.br/rooms/779880268768506427;Rio de Janeiro;-22.96517;-43.17145;entire_home;1.0;1;1;3;False;False;24;[64, 1, 2, 66, 4, 5, 8, 137, 10, 394, 522, 11, 12, 79, 145, 146, 21, 85, 661, 86, 663, 89, 665, 90, 91, 93, 415, 674, 40, 104, 44, 236, 46, 625, 315];28;5.0;5.0;4.86;5.0;5.0;4.96;5.0;226.0
39882295;🇬🇧 🇦🇷 Flat in Rio Hi Tech c/ Vista ao Mar na Barra 🌈;Apartamento em Rio de Janeiro ;"HABLAMOS ESPAÑOL/ SPEAK ENGLISH 🌈<br /><br />Bem-vindxs ao “Flat In Rio”, localização perfeita na praia da Barra da Tijuca. <br /><br />Situado Cond. Barramares com lindíssima vista mar, varanda é perfeita para quem ama a sensação de estar próximo da praia.<br /><br />AC Split na sala e quarto, TV Smart 55’ ; escritório, Wi-Fi ultra veloz , segurança, berço/carrinho para seus filhos (*sob disponibilidade) <br /><br />Piscina aquecida, garagem coberta, espaço kids, padaria, mercado e farmácia tornam a experiência perfeita desde 2019!<br /><br /><b>O espaço</b><br />O Flat in Rio foi desenhado para oferecer a melhor experiência para você.<br /><br />Esqueça o carro, as preocupações e curta tudo que planejamos com muita dedicação e carinho para você e seus amigos e familiares.<br /><br />Já o imóvel é um capítulo à parte: espaçoso, reformado, tecnológico, arejado, com vista lindíssima para o mar (18 andar) e iluminado pelo sol da manhã. <br /><br />Sala grande com varanda e rede, cozinha completa, ar-condicionado split na sala e quarto, armário planejados, cama casal, Smart TV de 55', máquina de lavar, móveis planejados - enfim tudo para que você tenha uma estadia perfeita! <br /><br />Contamos com kit cadeira de alimentação, banheira, berço e carrinho para você passear com seu bebê.*<br />(*sob solicitação prévia, sem custo) <br /><br />Pets: são sempre bem vindos! <br /><br />Máximo 2 cães/gatos (raças pequenas) ou 1 cão (médio porte). Pedimos que previamente marquem no momento da reserva para prepararmos tudo para recebê-los, incluindo alguns mimos caninos. **<br />(**Custos adicionais são aplicáveis) <br /><br />Faça tudo a pé, deixa seu carro descansando em nossa garagem coberta.<br /><br /><b>Acesso do hóspede</b><br />Você terá acesso sem taxas extras <br /><br />- Escritório completo ergonômico <br />- Roupas de Cama e Toalhas de Praia<br />- Cafeteira Eletrica <br />- Ferro e Tábua de Passar<br />- Máquina de Lavar 8kg<br />- Fechadura eletrônica <br />- Piscina aquecida*<br />- Vaga em garagem coberta<br />- Sauna seca e a Vapor <br />- Academia**<br />- Recepção predial e Segurança 24h<br />- Barraca e Cadeiras de Praia <br />-  Rede na Varanda :)<br />- Kit Baby (carrinho, berço, banheira, cadeira e utensílios**) <br /><br />*fechada às segundas feiras para manutenção <br />** necessário atestado médico válido (30 dias) <br />*** sujeitos à disponibilidade <br /><br />No andar térreo onde estará hospedado há: <br /><br />- supermercado Pétit Marche <br />- Padaria Sta Marta <br />- Restaurante Mineiro a quilo <br />- Farmácia <br />- Manicure e Barbeiro<br />- Caixa 24h <br />- Pet Shop com tosa e banho <br />- Clínica RPG e Fisioterapia <br /><br />E no mesmo quarteirão você encontra: <br /><br />- Restaurante “Paris 6 Rio” <br />- Rest. Baladinha Mix <br />- Bar 4e5 <br />- Rest. Sirena da Barra <br />- Agencia Banco Itaú <br />- Feira Livre (as sextas feiras) <br />- Salão de Beleza Werner <br /><br />E ainda na praia (posto 4 e 5) há escolas de surf, beach tennis, beach volley, fut volley, kit surf, aulas de ginastica na areia, funcional meditação e muito mais! <br /><br />Faça tudo a pé, deixa seu carro descansando em nossa garagem coberta<br /><br /><b>Outras observações</b><br />Somos fluentes en español <br />We speak fluently English <br /><br />Temos Motorista particular para traslados ou passeios turísticos (custos à parte) <br /><br />Réveillon e Carnaval: mínimo de 5 diárias e não mais de 4 hóspedes";https://www.airbnb.com.br/rooms/39882295;Rio de Janeiro ;-23.01038;-43.32861;entire_home;1.0;2;1;4;True;False;40;[1, 2, 4, 132, 5, 134, 7, 8, 392, 9, 137, 394, 522, 12, 15, 21, 23, 153, 665, 667, 415, 671, 672, 33, 674, 36, 37, 39, 40, 44, 45, 46, 47, 51, 308, 54, 57, 60, 62, 64, 65, 66, 322, 67, 68, 73, 74, 331, 77, 85, 86, 88, 89, 90, 91, 93, 94, 95, 223, 96, 227, 100, 102, 103, 104, 232, 107, 236];78;5.0;4.99;4.99;4.96;5.0;4.99;4.87;466.0
